6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.1848921386406195 ,[4.14194204 5.27396434] ,180 ,0 ,2.3713008962605812e-05 ,  -18.5768358 -18.52167127 -18.49207574 -18.47840656 -18.46591517 -18.4595296 -18.45540805
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.741709109189951 ,[5.94701787 4.17740879] ,142 ,0 ,2.8411069032803355e-05 ,  3.267605637 3.293129937 3.298315916 3.308737728 3.315732076 3.320475824 3.324829892
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.532847550011046 ,[4.35663874 4.82635179] ,1 ,0 ,2.65679855556858e-05 ,  -23.03197567 -23.007746 -22.99348939 -22.98789192 -22.97859555 -22.96912815 -22.96601806
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.27257650700565 ,[4.23479591 5.80859782] ,112 ,284 ,2.0047124466639665e-05 ,  -30.76069618 -30.71011221 -30.69134448 -30.67910972 -30.66277334 -30.64679406 -30.63723586
6 ,18 ,Coulomb , 4800.0 ,0.02 ,-0.02 ,0.005 ,0.5112664993659427 ,[0.07398999 2.56869803] ,2 ,166 ,2.553109440353291e-05 ,  20.07824985 20.10479276 20.14030247 20.15614712 20.18320166 20.18911146 20.20388044
6 ,18 ,Coulomb , 4800.0 ,0.02 ,-0.02 ,0.005 ,0.5017298699576701 ,[0.01725314 8.6813654 ] ,9 ,0 ,2.443158038249347e-05 ,  -37.68450638 -37.64851101 -37.62480269 -37.60710022 -37.58666355 -37.57165406 -37.55538491
6 ,18 ,Coulomb , 4800.0 ,0.02 ,-0.02 ,0.005 ,0.4731612933648553 ,[0.48044385 0.47090358] ,202 ,0 ,2.402015997262133e-05 ,  -89.28534184 -89.16781266 -89.1196805 -89.07333582 -89.03994601 -89.02021103 -88.99750601
6 ,18 ,Coulomb , 4800.0 ,0.02 ,-0.02 ,0.005 ,0.5076035739959963 ,[0.50940371 0.49175259] ,208 ,134 ,2.4670288801579987e-05 ,  52.82582113 52.96810644 53.06724627 53.09730474 53.1335173 53.16913821 53.18493153
6 ,18 ,Coulomb , 4800.0 ,0.02 ,-0.02 ,0.005 ,0.4821114086917502 ,[0.46851372 0.50424063] ,U ,U ,2.5485405889056317e-05 ,  -71.63495693 -71.61254604 -71.5716486 -71.52812631 -71.50269206 -71.48934641 -71.47547043
6 ,18 ,Coulomb , 4800.0 ,0.02 ,-0.02 ,0.005 ,0.49364986550805967 ,[6.48989428 0.0295927 ] ,4 ,0 ,2.4746023633474653e-05 ,  28.28619251 28.32185533 28.3947351 28.4052618 28.40672109 28.44180721 28.45526528
6 ,18 ,Coulomb , 4800.0 ,0.02 ,-0.02 ,0.005 ,0.493876775946786 ,[0.01187015 8.57665295] ,151 ,0 ,2.4983130909302785e-05 ,  5.094376656 5.137529562 5.161798078 5.167097736 5.171370437 5.180892402 5.182595534
6 ,18 ,Coulomb , 4800.0 ,0.02 ,-0.02 ,0.005 ,0.49204626024541254 ,[0.09563844 0.65507644] ,3 ,0 ,2.475579202648119e-05 ,  54.93374495 55.03218949 55.07200852 55.08761893 55.10604102 55.13033654 55.15545684
